Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
355,Phil Pressey,PG,22,BOS,62,7,854,2.2,7.8,.285,0.8,3.3,.256,1.4,4.6,.306,0.9,1.5,.629,0.5,2.7,3.2,7.0,2.1,0.2,2.6,3.2,6.2
356,A.J. Price,SG,27,MIN,28,0,99,6.9,16.7,.413,2.2,8.0,.273,4.7,8.7,.542,0.0,0.7,.000,0.4,3.3,3.6,4.7,0.4,0.0,2.5,1.8,16.0
357,Ronnie Price,SG,30,ORL,24,2,271,2.7,8.1,.328,0.8,3.9,.207,1.9,4.3,.438,0.4,0.7,.600,0.9,3.6,4.5,4.9,2.7,0.3,2.1,4.4,6.5
358,Pablo Prigioni,PG,36,NYK,51,26,1030,2.5,5.5,.459,1.9,4.1,.457,0.7,1.4,.463,0.3,0.3,.900,1.1,2.7,3.7,6.2,2.1,0.1,1.5,3.8,7.2
359,Tayshaun Prince,SF,33,MEM,63,63,1641,3.7,9.1,.406,0.4,1.3,.317,3.3,7.8,.421,0.7,1.1,.577,0.5,3.7,4.1,2.3,0.8,0.4,0.8,1.1,8.4
360,Miroslav Raduljica,C,26,MIL,42,2,425,5.5,10.2,.537,0.0,0.0,,5.5,10.2,.537,3.5,4.2,.837,4.3,4.0,8.3,1.9,0.6,1.0,2.1,6.3,14.5
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
361,Anthony Randolph,PF,24,DEN,33,4,409,4.2,11.7,.361,1.0,3.7,.262,3.3,8.0,.407,3.7,5.2,.712,1.3,7.1,8.4,1.7,1.9,1.5,2.8,4.1,13.1
362,Shavlik Randolph,PF,30,PHO,5,0,35,4.1,8.2,.500,0.0,0.0,,4.1,8.2,.500,4.1,8.2,.500,2.1,7.2,9.3,0.0,2.1,0.0,2.1,5.1,12.3
363,Zach Randolph,PF,32,MEM,63,63,2148,7.3,15.9,.458,0.0,0.3,.000,7.3,15.6,.466,3.4,4.7,.737,3.5,7.2,10.7,2.6,0.7,0.3,2.4,2.7,17.9
364,J.J. Redick,SG,29,LAC,30,30,863,6.7,14.6,.459,2.6,6.6,.396,4.1,8.0,.510,3.5,3.9,.914,0.4,2.3,2.6,2.8,1.0,0.1,1.5,2.4,19.6
365,Glen Rice,SG,23,WAS,11,1,109,3.6,12.2,.297,1.7,5.6,.294,2.0,6.6,.300,1.7,2.3,.714,1.3,5.3,6.6,2.3,2.0,0.3,3.0,2.3,10.6
366,Luke Ridnour,PG,32,TOT,46,12,893,3.8,10.2,.374,1.1,3.3,.325,2.7,6.9,.398,0.6,0.9,.682,0.8,2.3,3.1,5.6,1.0,0.2,2.3,2.7,9.4
367,Austin Rivers,SG,21,NOP,54,0,925,5.1,12.9,.392,1.0,3.0,.325,4.1,9.9,.412,3.0,4.6,.658,0.8,2.1,3.0,3.9,1.2,0.3,2.1,4.0,14.1
368,Andre Roberson,PF,22,OKC,28,6,243,3.1,6.1,.512,0.1,1.0,.143,3.0,5.0,.588,1.0,1.5,.700,3.7,5.3,9.0,1.5,2.1,0.7,1.9,6.7,7.4
369,Brian Roberts,PG,28,NOP,60,33,1374,5.3,12.2,.432,1.4,3.7,.373,3.9,8.5,.458,2.6,2.8,.943,0.3,2.6,2.9,5.0,1.0,0.1,2.0,3.0,14.5
370,Nate Robinson,PG,29,DEN,44,1,866,6.8,15.9,.428,2.4,6.4,.377,4.4,9.5,.463,3.0,3.5,.835,0.9,2.5,3.4,4.7,1.5,0.2,2.4,3.8,19.0
371,Thomas Robinson,PF,22,POR,55,0,647,5.6,12.2,.461,0.0,0.1,.000,5.6,12.1,.463,2.4,4.2,.566,4.5,8.3,12.7,1.1,0.8,1.0,2.1,5.5,13.6
372,Rajon Rondo,PG,27,BOS,21,21,674,5.2,13.8,.375,1.1,3.7,.300,4.1,10.1,.402,1.4,2.2,.634,0.6,4.9,5.6,9.9,1.7,0.1,3.3,2.2,12.9
373,Derrick Rose,PG,25,CHI,10,10,311,6.7,19.0,.354,1.9,5.4,.340,4.9,13.5,.359,3.1,3.7,.844,1.0,2.7,3.7,5.0,0.6,0.1,3.9,1.7,18.4
374,Terrence Ross,SG,22,TOR,64,45,1666,5.4,12.6,.432,2.8,6.7,.415,2.7,5.9,.452,1.4,1.6,.840,0.7,3.5,4.2,1.3,1.1,0.5,1.5,3.2,15.0
375,Ricky Rubio,PG,23,MIN,65,65,2043,3.2,8.8,.369,0.6,1.8,.356,2.6,7.0,.372,3.0,3.7,.820,1.0,4.1,5.1,9.7,2.8,0.2,3.1,3.1,10.2
376,Brandon Rush,SG,28,UTA,36,0,405,2.6,7.6,.337,1.4,4.1,.348,1.2,3.6,.325,0.3,0.4,.750,0.3,3.1,3.4,2.0,0.4,0.7,1.4,2.7,6.8
377,Robert Sacre,C,24,LAL,49,12,718,4.7,9.9,.470,0.0,0.0,,4.7,9.9,.470,2.0,3.1,.645,2.9,5.4,8.3,1.4,0.8,2.0,1.7,4.9,11.3
378,John Salmons,SG-SF,34,TOT,62,8,1460,3.2,8.8,.361,1.2,3.4,.368,1.9,5.4,.356,0.8,0.9,.816,0.4,3.1,3.5,3.1,1.0,0.4,1.1,2.4,8.3
379,Larry Sanders,C,25,MIL,23,20,584,4.7,10.0,.469,0.0,0.1,.000,4.7,9.9,.472,1.6,3.4,.473,3.7,6.5,10.2,1.2,1.1,2.5,1.6,4.6,11.0
380,Dennis Schroeder,PG,20,ATL,34,0,448,4.2,10.4,.403,0.4,1.7,.238,3.8,8.7,.435,1.7,2.5,.677,0.2,3.2,3.4,5.3,0.9,0.0,3.5,2.7,10.4
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
381,Luis Scola,PF,33,IND,66,0,1132,6.5,14.1,.462,0.0,0.2,.167,6.5,13.9,.466,2.5,3.4,.741,2.1,8.3,10.5,1.9,0.7,0.4,2.9,4.1,15.6
382,Mike Scott,PF,25,ATL,62,3,1139,7.0,14.8,.475,1.7,5.1,.342,5.3,9.7,.546,2.7,3.4,.798,1.6,5.5,7.1,2.0,0.7,0.2,1.8,2.9,18.5
383,Thabo Sefolosha,SG,29,OKC,55,55,1454,3.4,7.9,.425,1.2,3.4,.338,2.2,4.5,.492,1.2,1.6,.769,1.1,3.9,5.0,2.0,1.9,0.4,1.3,1.9,9.1
384,Kevin Seraphin,C,24,WAS,44,0,531,7.2,13.8,.522,0.0,0.0,,7.2,13.8,.522,1.8,2.1,.871,3.4,4.5,7.9,1.1,0.1,1.5,2.6,6.3,16.2
385,Ramon Sessions,PG,27,TOT,68,7,1634,5.3,12.7,.418,0.5,1.9,.259,4.8,10.8,.445,5.4,6.7,.803,0.6,2.7,3.3,5.6,0.9,0.1,2.4,1.5,16.5
386,Tornike Shengelia,SF,22,TOT,23,0,152,2.8,6.2,.462,0.0,1.4,.000,2.8,4.7,.600,0.7,1.9,.375,0.9,2.8,3.8,3.3,0.5,0.2,2.8,4.3,6.4
387,Iman Shumpert,SG,23,NYK,60,55,1586,3.4,8.9,.379,1.5,4.3,.349,1.9,4.6,.408,1.0,1.3,.786,1.5,4.5,5.9,2.5,1.6,0.2,1.6,3.7,9.2
388,Alexey Shved,SG,25,MIN,54,0,581,4.0,12.6,.315,1.5,5.3,.294,2.4,7.3,.331,3.6,4.8,.753,1.2,3.4,4.6,3.0,1.5,0.9,2.2,1.9,13.1
389,Henry Sims,C,23,TOT,30,9,413,4.0,9.6,.418,0.0,0.0,,4.0,9.6,.418,3.5,4.6,.755,3.9,5.7,9.6,1.8,1.5,1.2,1.7,5.6,11.5
390,Kyle Singler,SF,25,DET,66,20,1823,4.2,9.3,.451,1.4,3.7,.370,2.8,5.5,.505,2.4,3.0,.800,1.7,3.0,4.8,1.1,1.0,0.6,1.3,3.5,12.1
391,Chris Singleton,SF,24,WAS,20,0,227,4.0,10.5,.379,1.1,3.0,.368,2.9,7.5,.383,2.7,3.6,.739,2.9,5.2,8.1,1.0,1.4,0.5,2.4,3.5,11.7
392,Peyton Siva,SG,23,DET,14,0,76,1.4,4.3,.333,0.5,1.4,.333,0.9,2.8,.333,0.0,0.0,,0.5,3.3,3.8,3.8,1.4,0.5,6.2,5.2,3.3
393,Donald Sloan,SG,26,IND,33,0,204,3.0,9.2,.327,0.7,3.9,.182,2.3,5.3,.433,1.4,2.5,.571,0.2,3.9,4.1,4.8,1.2,0.0,1.9,1.8,8.1
394,Chris Smith,PG,26,NYK,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,Greg Smith,C,23,HOU,11,0,100,6.5,10.1,.643,0.0,0.0,,6.5,10.1,.643,0.7,1.8,.400,4.0,5.8,9.7,0.0,0.4,0.7,1.8,6.1,13.7
396,Ishmael Smith,PG,25,PHO,54,1,810,4.4,10.9,.402,0.0,0.9,.048,4.4,10.0,.436,1.0,1.7,.564,1.2,3.5,4.7,6.3,2.0,0.5,2.4,2.2,9.8
397,J.R. Smith,SF,28,NYK,59,22,1912,5.5,13.8,.399,2.4,6.4,.379,3.1,7.4,.416,1.3,2.2,.617,0.5,3.9,4.4,3.4,1.0,0.3,1.5,3.0,14.8
398,Jason Smith,PF,27,NOP,31,27,830,5.7,12.2,.465,0.0,0.0,,5.7,12.2,.465,1.7,2.2,.780,2.2,5.6,7.9,1.3,0.5,1.3,1.2,4.3,13.1
399,Josh Smith,SF,28,DET,66,65,2381,6.8,16.2,.418,0.8,3.3,.250,5.9,12.9,.461,2.3,4.1,.553,1.5,5.6,7.1,3.4,1.5,1.5,2.6,2.5,16.7
400,Tony Snell,SG,22,CHI,60,12,1104,3.8,9.8,.384,1.7,5.3,.327,2.1,4.6,.450,0.9,1.2,.757,0.6,3.1,3.7,2.1,0.8,0.4,1.3,2.4,10.2
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
401,James Southerland,SF,23,CHA,1,0,3,0.0,36.0,.000,0.0,12.0,.000,0.0,24.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,Marreese Speights,C,26,GSW,65,0,723,6.7,15.8,.421,0.4,1.3,.296,6.3,14.5,.433,4.6,5.5,.838,3.8,6.4,10.2,1.1,0.2,1.4,2.3,5.3,18.4
403,Tiago Splitter,C,29,SAS,46,39,974,5.2,9.8,.528,0.0,0.0,.000,5.2,9.8,.530,3.7,5.3,.694,3.5,6.6,10.1,2.3,0.9,0.9,2.1,3.3,14.0
404,Lance Stephenson,SG,23,IND,64,64,2289,5.6,11.4,.494,1.1,3.1,.344,4.6,8.3,.550,1.8,2.5,.706,1.3,6.1,7.4,5.0,0.7,0.1,2.7,2.5,14.1
405,Greg Stiemsma,C,28,NOP,42,8,772,2.4,3.9,.627,0.0,0.0,,2.4,3.9,.627,0.6,1.0,.571,2.9,5.4,8.3,1.3,1.0,2.1,1.5,5.9,5.4
406,Julyan Stone,SG,25,TOR,21,0,120,2.1,5.1,.412,0.6,2.4,.250,1.5,2.7,.556,0.6,0.9,.667,0.6,5.4,6.0,3.6,0.9,0.0,1.5,3.9,5.4
407,Amar'e Stoudemire,C,31,NYK,51,7,1063,7.6,13.8,.553,0.0,0.0,,7.6,13.8,.553,3.6,5.1,.707,2.9,5.0,8.0,0.8,0.7,0.9,2.5,4.2,18.8
408,Rodney Stuckey,SG,27,DET,58,0,1509,6.8,15.7,.435,0.4,1.6,.277,6.4,14.1,.452,4.3,5.3,.824,0.7,2.5,3.2,2.8,1.1,0.2,2.2,2.6,18.4
409,Jared Sullinger,PF,21,BOS,62,41,1679,6.8,15.9,.425,0.8,3.4,.244,5.9,12.5,.475,2.8,3.5,.782,4.5,6.5,11.0,2.1,0.6,0.9,2.2,4.5,17.2
410,Jeff Taylor,SF,24,CHA,26,8,629,4.7,12.5,.376,1.0,3.8,.269,3.7,8.6,.424,1.5,2.7,.553,0.9,2.6,3.4,1.3,0.7,0.3,1.4,3.5,11.9
411,Tyshawn Taylor,PG,23,BRK,23,3,270,4.1,12.1,.341,0.4,1.6,.250,3.7,10.5,.354,3.2,4.0,.800,0.4,1.6,2.0,4.8,1.6,0.1,4.1,3.9,11.9
412,Jeff Teague,PG,25,ATL,61,61,1966,6.3,14.8,.426,0.8,2.8,.283,5.5,12.0,.459,4.5,5.4,.832,0.5,2.4,3.0,7.8,1.3,0.3,3.5,2.3,17.9
413,Marquis Teague,SG,20,TOT,31,2,347,3.2,10.1,.320,0.4,1.6,.267,2.8,8.5,.329,2.1,2.8,.741,0.1,3.1,3.2,4.8,0.7,0.4,3.0,4.0,8.9
414,Mirza Teletovic,SF,28,BRK,57,6,1062,5.7,13.5,.420,3.4,8.8,.379,2.3,4.6,.496,1.1,1.5,.689,1.5,5.4,6.9,1.6,0.7,0.7,1.5,3.8,15.7
415,Garrett Temple,SG,27,WAS,61,0,618,2.7,7.7,.353,0.3,1.6,.179,2.4,6.1,.400,1.6,2.3,.675,1.2,2.6,3.8,4.2,2.0,0.6,2.4,4.2,7.3
416,Jason Terry,PG,36,BRK,35,0,570,3.5,9.6,.362,2.5,6.5,.379,1.0,3.1,.327,0.6,0.9,.667,0.3,2.1,2.3,3.5,0.8,0.0,1.7,3.0,10.0
417,Hasheem Thabeet,C,26,OKC,15,0,123,3.5,5.0,.706,0.0,0.0,,3.5,5.0,.706,0.3,1.5,.200,2.6,7.3,10.0,0.3,0.9,1.8,2.6,8.8,7.3
418,Adonis Thomas,SF,20,ORL,4,0,24,4.5,13.5,.333,0.0,4.5,.000,4.5,9.0,.500,1.5,1.5,1.000,0.0,4.5,4.5,3.0,0.0,0.0,0.0,3.0,10.5
419,Isaiah Thomas,PG,24,SAC,67,49,2333,7.2,15.9,.452,1.9,5.3,.354,5.3,10.6,.500,5.0,5.8,.854,0.6,2.3,2.9,6.5,1.4,0.1,3.1,2.6,21.2
420,Lance Thomas,SF,25,NOP,5,0,42,1.7,7.7,.222,0.0,0.0,,1.7,7.7,.222,1.7,3.4,.500,1.7,4.3,6.0,2.6,0.0,0.0,1.7,3.4,5.1
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
421,Malcolm Thomas,PF,25,TOT,5,0,38,2.8,9.5,.300,0.0,1.9,.000,2.8,7.6,.375,0.0,1.9,.000,3.8,11.4,15.2,1.9,0.0,2.8,3.8,0.9,5.7
422,Hollis Thompson,SF,22,PHI,61,27,1325,3.6,7.9,.455,1.1,3.2,.342,2.5,4.8,.531,1.1,1.6,.683,1.7,3.8,5.5,1.4,1.1,0.2,1.2,2.7,9.4
423,Jason Thompson,PF,27,SAC,67,57,1686,4.5,9.0,.505,0.0,0.0,,4.5,9.0,.505,1.5,2.5,.593,2.8,6.4,9.2,1.0,0.5,1.0,1.7,4.5,10.5
424,Klay Thompson,SG,23,GSW,67,67,2409,6.8,15.4,.440,2.7,6.6,.412,4.1,8.9,.460,1.8,2.3,.783,0.5,2.6,3.0,2.3,1.0,0.5,1.7,2.9,18.1
425,Tristan Thompson,PF,22,CLE,67,67,2178,5.1,10.8,.469,0.0,0.0,.000,5.1,10.8,.469,3.0,4.5,.668,3.7,6.6,10.3,1.0,0.5,0.4,1.6,2.5,13.1
426,Marcus Thornton,SG,26,TOT,56,26,1358,5.0,12.6,.399,2.1,6.1,.338,2.9,6.4,.457,1.4,1.8,.783,1.2,2.6,3.8,1.5,1.1,0.2,1.2,2.3,13.5
427,Jamaal Tinsley,PG,35,UTA,8,5,110,1.3,6.5,.200,0.3,4.9,.067,1.0,1.6,.600,0.0,0.0,,0.7,2.9,3.6,7.5,0.7,0.0,2.9,3.3,2.9
428,Anthony Tolliver,PF,28,CHA,56,9,1190,3.4,8.2,.421,2.7,6.6,.410,0.8,1.6,.463,0.9,1.1,.811,0.9,3.5,4.4,1.1,0.5,0.5,0.6,2.2,10.5
429,P.J. Tucker,SF,28,PHO,65,65,2013,3.8,8.9,.432,1.0,2.6,.399,2.8,6.3,.446,2.3,3.0,.775,2.5,5.3,7.7,2.2,1.6,0.3,1.5,2.8,11.0
430,Ronny Turiaf,PF,31,MIN,23,10,480,3.2,5.7,.553,0.0,0.0,,3.2,5.7,.553,0.8,2.5,.324,3.3,6.6,9.9,1.5,0.5,2.9,1.4,3.8,7.1
431,Hedo Turkoglu,SF,34,LAC,26,0,272,2.9,8.1,.361,1.5,3.3,.440,1.5,4.8,.306,0.8,1.7,.462,1.2,7.4,8.6,4.0,2.0,0.9,2.0,4.4,8.1
432,Evan Turner,SF,25,TOT,65,54,2142,6.7,15.5,.433,0.7,2.4,.306,6.0,13.1,.456,3.4,4.2,.819,0.9,5.1,6.0,3.7,1.0,0.1,2.8,2.9,17.6
433,Jeremy Tyler,C,22,NYK,32,0,330,5.7,10.6,.536,0.0,0.0,,5.7,10.6,.536,2.4,4.4,.550,4.0,7.0,11.0,0.7,0.7,2.1,2.2,6.3,13.7
434,Ekpe Udoh,PF,26,MIL,37,14,724,2.5,6.4,.398,0.0,0.0,,2.5,6.4,.398,1.4,2.2,.644,2.9,4.0,6.9,1.3,0.7,1.9,1.7,4.4,6.5
435,Beno Udrih,SG,31,TOT,35,12,609,4.2,9.8,.428,1.1,2.5,.452,3.1,7.3,.419,1.4,1.7,.857,0.6,2.8,3.4,6.7,1.4,0.2,2.6,2.8,10.9
436,Jonas Valanciunas,C,21,TOR,65,65,1781,5.6,10.7,.521,0.0,0.0,.000,5.6,10.7,.522,2.6,3.6,.729,3.6,7.5,11.1,0.9,0.4,1.2,2.3,4.2,13.7
437,Anderson Varejao,C,31,CLE,52,29,1512,4.4,9.0,.483,0.0,0.1,.000,4.4,8.9,.489,1.7,2.5,.679,3.8,8.6,12.4,3.0,1.4,0.9,1.4,3.0,10.4
438,Jarvis Varnado,PF,25,TOT,9,0,93,2.7,5.4,.500,0.0,0.0,,2.7,5.4,.500,3.5,6.6,.529,3.5,5.4,8.9,0.8,0.8,1.5,0.8,7.4,8.9
439,Greivis Vasquez,SG-PG,27,TOT,62,19,1353,5.2,12.9,.401,1.8,5.3,.335,3.4,7.6,.447,1.8,2.1,.885,0.5,3.1,3.5,7.0,0.7,0.1,2.6,2.9,13.9
440,Jan Vesely,PF,23,TOT,42,1,571,3.8,7.7,.492,0.0,0.0,,3.8,7.7,.492,0.8,2.7,.279,3.8,4.9,8.8,0.8,2.3,1.6,1.6,5.1,8.3
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
441,Charlie Villanueva,PF,29,DET,17,0,150,7.2,18.0,.400,2.6,10.6,.250,4.6,7.4,.613,1.9,3.4,.571,1.2,5.8,7.0,1.2,1.0,1.0,1.7,1.9,19.0
442,Nikola Vucevic,C,23,ORL,49,49,1569,6.8,13.5,.508,0.0,0.0,,6.8,13.5,.508,2.2,2.9,.776,3.6,8.8,12.5,2.0,1.2,1.0,2.3,3.5,15.9
443,Sasha Vujacic,SG,29,LAC,2,0,10,7.2,18.0,.400,3.6,7.2,.500,3.6,10.8,.333,0.0,0.0,,0.0,10.8,10.8,0.0,3.6,0.0,10.8,3.6,18.0
444,Dwyane Wade,SG,32,MIA,48,47,1613,8.4,15.3,.550,0.2,0.6,.333,8.2,14.7,.559,3.8,5.1,.746,1.2,3.8,5.0,5.2,1.6,0.6,3.1,2.2,20.8
445,Dion Waiters,SG,22,CLE,55,9,1532,7.2,17.0,.424,1.6,4.2,.374,5.6,12.8,.440,2.7,4.0,.675,0.6,3.0,3.7,3.4,1.1,0.2,2.8,2.7,18.7
446,Kemba Walker,PG,23,CHA,60,60,2145,6.3,15.5,.405,1.4,4.3,.337,4.8,11.2,.430,3.9,4.7,.826,0.6,3.7,4.2,5.8,1.3,0.5,2.5,1.8,17.9
447,John Wall,PG,23,WAS,66,66,2430,7.0,16.2,.433,1.3,3.7,.355,5.7,12.4,.456,4.1,5.0,.818,0.5,3.6,4.1,8.5,1.9,0.5,3.5,2.6,19.4
448,Gerald Wallace,SF,31,BOS,58,16,1416,2.9,5.8,.504,0.5,1.6,.297,2.5,4.2,.584,1.2,2.6,.465,0.9,4.5,5.4,3.6,1.9,0.4,2.5,2.0,7.6
449,C.J. Watson,PG,29,IND,60,5,1132,4.3,10.0,.427,1.4,4.3,.336,2.8,5.7,.494,2.0,2.5,.788,0.6,2.4,3.1,3.3,1.7,0.3,1.7,2.0,12.0
450,Earl Watson,PG,34,POR,19,0,120,0.9,2.1,.429,0.6,1.5,.400,0.3,0.6,.500,1.2,1.2,1.000,1.5,1.8,3.3,6.6,0.9,0.3,3.9,7.8,3.6
451,Maalik Wayns,PG,22,LAC,2,0,9,4.0,8.0,.500,0.0,0.0,,4.0,8.0,.500,0.0,0.0,,0.0,8.0,8.0,8.0,8.0,0.0,0.0,16.0,8.0
452,Martell Webster,SF,27,WAS,62,13,1780,4.4,10.1,.437,2.5,6.4,.393,1.9,3.7,.514,1.8,2.1,.848,0.6,3.2,3.8,1.6,0.7,0.3,1.0,2.5,13.1
453,David West,PF,33,IND,66,66,2007,6.9,13.9,.497,0.1,0.2,.250,6.9,13.7,.501,2.9,3.8,.764,1.8,6.1,7.9,3.4,1.0,1.1,2.1,2.6,16.8
454,Russell Westbrook,PG,25,OKC,35,35,1090,8.6,19.8,.435,1.8,5.4,.346,6.7,14.4,.468,5.8,7.2,.812,1.3,5.2,6.5,8.2,2.3,0.1,4.7,2.4,24.9
455,Deron Williams,PG,29,BRK,48,42,1526,5.6,12.5,.449,1.6,4.4,.366,4.0,8.1,.494,3.1,3.8,.802,0.2,2.7,2.8,7.2,1.5,0.3,2.6,2.6,15.9
456,Derrick Williams,SF-PF,22,TOT,64,13,1517,4.4,10.0,.438,0.5,2.1,.264,3.8,7.9,.484,3.9,5.3,.724,1.4,5.0,6.5,1.1,1.0,0.4,1.5,2.4,13.2
457,Elliot Williams,SG,24,PHI,51,2,794,3.8,10.2,.371,1.1,4.0,.284,2.6,6.2,.426,2.9,3.9,.747,1.0,3.4,4.3,1.9,1.0,0.0,2.1,4.2,11.6
458,Louis Williams,PG,27,ATL,46,6,1111,4.8,12.5,.382,2.1,5.9,.361,2.6,6.5,.401,3.3,3.9,.835,0.3,2.6,2.9,5.3,1.3,0.1,2.4,1.6,14.9
459,Marvin Williams,PF,27,UTA,55,46,1413,5.1,11.5,.445,1.9,5.1,.378,3.2,6.4,.498,1.2,1.6,.790,1.8,5.5,7.3,1.7,1.1,0.7,1.2,3.3,13.4
460,Mo Williams,PG,31,POR,61,0,1501,5.4,13.4,.408,1.7,4.5,.371,3.8,8.9,.426,1.3,1.5,.871,0.9,2.2,3.1,6.5,1.2,0.2,2.9,4.1,13.8
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
461,Reggie Williams,F,27,OKC,1,0,5,14.4,28.8,.500,7.2,7.2,1.000,7.2,21.6,.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,36.0
462,Shawne Williams,PF,27,LAL,36,13,751,3.5,9.2,.380,2.0,6.2,.326,1.5,3.0,.492,0.7,1.0,.700,1.2,6.8,8.0,1.4,0.9,1.4,1.0,4.5,9.7
463,Jeff Withey,C,23,NOP,42,0,416,2.9,5.9,.500,0.0,0.0,,2.9,5.9,.500,2.2,2.9,.735,2.9,5.7,8.7,1.5,1.0,2.0,1.1,4.2,8.0
464,Nate Wolters,PG,22,MIL,56,29,1261,4.8,10.9,.441,0.5,1.7,.295,4.3,9.1,.469,1.6,2.5,.663,0.9,3.2,4.1,5.1,1.0,0.4,1.5,1.8,11.7
465,Metta World Peace,SF,34,NYK,29,1,388,5.2,13.1,.397,1.6,5.0,.315,3.6,8.1,.448,0.9,1.5,.625,1.7,3.8,5.5,1.6,2.2,0.7,1.8,4.1,12.9
466,Brandan Wright,C,26,DAL,43,0,778,7.8,11.8,.659,0.0,0.0,,7.8,11.8,.659,2.8,3.8,.732,3.4,5.0,8.5,1.0,1.2,1.9,1.3,3.3,18.3
467,Chris Wright,F,25,MIL,1,0,7,0.0,10.3,.000,0.0,0.0,,0.0,10.3,.000,15.4,20.6,.750,0.0,0.0,0.0,0.0,5.1,0.0,0.0,5.1,15.4
468,Dorell Wright,SF,28,POR,53,7,738,4.2,10.7,.391,2.8,7.6,.372,1.4,3.1,.438,2.0,2.6,.755,1.0,5.1,6.1,2.3,0.9,0.5,1.4,2.3,13.2
469,Tony Wroten,SG,20,PHI,59,13,1431,7.2,17.0,.427,0.8,3.8,.216,6.4,13.1,.489,4.5,6.9,.647,1.6,3.2,4.8,4.0,1.6,0.4,4.2,2.9,19.8
470,Nick Young,SG,28,LAL,49,9,1400,7.1,16.9,.421,2.1,6.0,.352,5.0,10.9,.459,4.8,5.8,.827,0.6,2.8,3.3,1.8,0.8,0.3,2.0,3.1,21.1
471,Thaddeus Young,PF,25,PHI,63,62,2137,7.8,16.8,.463,1.1,3.5,.304,6.7,13.3,.504,2.1,3.1,.694,2.4,4.1,6.5,2.4,2.3,0.4,2.2,2.8,18.8
472,Cody Zeller,C,21,CHA,67,0,1127,4.2,10.4,.405,0.0,0.0,.000,4.2,10.4,.406,3.4,4.5,.752,2.8,6.3,9.1,2.5,1.1,1.0,2.2,4.8,11.8
473,Tyler Zeller,C,24,CLE,56,9,808,4.8,9.4,.512,0.0,0.0,.000,4.8,9.4,.514,3.0,4.1,.736,3.7,6.3,10.0,1.2,0.7,1.4,2.3,5.0,12.6