TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%  ,3PM,3PA,3P%  ,FTM,FTA,FT%  ,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%  ,TOT3PM,TOT3PA,3P%  ,TOTFTM,TOTFTA,FT%  ,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
DET,"PF,C","PF,C",C,Greg,Monroe,76,32.0,6.0,11.8,51.0%,0.0,0.0,0.0%,2.9,4.4,67.0%,14.98,3.0,6.0,9.0,2.2,2.4,0.92,1.20,0.55,2.4,30,0,2432,457,897,51.0%,0,0,#DIV/0!,224,334,67.0%,1139,228,456,684,167,182,91,42,182,,Greg Monroe
SAS,"PF,C","PF,C",C,Tim,Duncan,70,28.0,5.9,12.0,49.5%,0.0,0.1,20.0%,3.1,4.1,74.5%,14.95,1.8,7.4,9.2,2.8,2.0,1.40,0.60,1.90,1.7,28,0,1960,416,840,49.5%,1,7,20.0%,214,287,74.5%,1047,126,518,644,196,140,42,133,119,,Tim Duncan
MIN,C,C,C,Nikola,Pekovic,70,26.0,5.9,11.2,53.0%,0.0,0.0,0.0%,3.0,4.0,74.0%,14.83,3.3,4.7,8.0,0.8,1.3,0.62,0.55,0.60,2.0,22,0,1820,416,784,53.0%,0,0,#DIV/0!,207,280,74.0%,1038,231,329,560,56,91,39,42,140,,Nikola Pekovic
DEN,PF,PF,PF,Kenneth,Faried,78,31.0,6.1,11.0,55.0%,0.0,0.0,0.0%,2.7,4.2,65.0%,14.83,3.4,6.4,9.8,1.4,2.0,0.70,1.00,1.00,2.8,42,0,2418,472,858,55.0%,0,0,#DIV/0!,213,328,65.0%,1157,265,499,764,109,156,78,78,218,SS,Kenneth Faried
BOS,"PG,SG","PG,SG",SG,Avery,Bradley,74,30.0,5.8,13.0,44.8%,1.8,4.4,40.0%,1.4,1.8,78.8%,14.83,0.6,2.4,3.0,1.4,1.6,0.88,1.15,0.25,2.6,1,0,2220,431,962,44.8%,130,326,40.0%,105,133,78.8%,1097,44,178,222,104,118,85,19,192,RS,Avery Bradley
BOS,"PF,C","PF,C",C,Jared,Sullinger,74,31.0,5.6,12.0,46.4%,1.5,4.2,36.4%,2.1,2.7,77.0%,14.74,3.4,6.3,9.7,2.0,2.2,0.91,0.75,0.55,3.6,32,0,2294,412,888,46.4%,113,311,36.4%,154,200,77.0%,1091,252,466,718,148,163,56,41,266,RS,Jared Sullinger
MIN,"SF,PF","SF,PF",PF,Thaddeus,Young,77,32.0,6.1,13.0,46.6%,0.7,2.4,30.0%,1.8,2.6,71.0%,14.68,2.0,4.5,6.5,1.8,1.6,1.13,1.75,0.55,2.8,7,0,2464,466,1001,46.6%,55,185,30.0%,142,200,71.0%,1131,154,347,501,139,123,135,42,216,,Thaddeus Young
UTA,"PF,C","PF,C",C,Derrick,Favors,75,32.0,5.8,11.0,53.0%,0.0,0.0,0.0%,3.0,4.5,67.0%,14.68,2.9,6.4,9.3,1.7,2.5,0.68,1.05,1.60,3.4,35,0,2400,437,825,53.0%,0,0,#DIV/0!,226,338,67.0%,1101,218,480,698,128,188,79,120,255,,Derrick Favors
PHO,PG,PG,PG,Isaiah,Thomas,72,26.0,5.0,11.0,45.0%,1.3,3.6,36.5%,3.4,4.0,86.0%,14.65,0.4,1.6,2.0,4.0,2.4,1.67,1.05,0.05,2.2,1,0,1872,356,792,45.0%,95,259,36.5%,248,288,86.0%,1055,29,115,144,288,173,76,4,158,,Isaiah Thomas
IND,"PG,SG",SG,SG,Rodney,Stuckey,74,29.0,5.3,12.4,42.5%,0.4,1.3,27.8%,3.7,4.5,82.2%,14.60,0.6,3.2,3.8,3.6,2.5,1.44,1.10,0.15,2.5,2,0,2146,390,918,42.5%,27,96,27.8%,274,333,82.2%,1080,44,237,281,266,185,81,11,185,,Rodney Stuckey
NOR,SG,SG,SG,Eric,Gordon,73,29.0,5.1,11.8,43.0%,1.5,4.0,38.0%,2.9,3.7,78.8%,14.58,0.4,2.0,2.4,2.8,2.0,1.40,1.00,0.15,1.8,0,0,2117,370,861,43.0%,111,292,38.0%,213,270,78.8%,1065,29,146,175,204,146,73,11,131,,Eric Gordon
SAS,"SG,SF","SG,SF",SF,Kawhi,Leonard,72,32.0,5.6,11.0,50.8%,1.2,3.2,38.8%,2.2,2.7,79.8%,14.57,1.3,5.5,6.8,2.2,1.5,1.47,1.75,0.75,2.2,14,0,2304,402,792,50.8%,89,230,38.8%,155,194,79.8%,1049,94,396,490,158,108,126,54,158,,Kawhi Leonard
ORL,"SF,PF","SF,PF",PF,Tobias,Harris,74,27.0,5.5,11.4,48.0%,0.6,2.0,32.0%,2.9,3.7,79.0%,14.51,1.5,4.8,6.3,1.5,1.3,1.15,0.80,0.60,2.2,8,0,1998,405,844,48.0%,47,148,32.0%,216,274,79.0%,1074,111,355,466,111,96,59,44,163,BBB,Tobias Harris
NOR,PG,PG,PG,Jrue,Holiday,75,36.0,5.8,13.2,44.0%,1.1,2.8,38.0%,1.8,2.3,78.0%,14.47,0.7,3.0,3.7,7.9,3.3,2.39,1.65,0.35,2.7,19,0,2700,436,990,44.0%,80,210,38.0%,135,173,78.0%,1086,53,225,278,593,248,124,26,203,,Jrue Holiday
LAC,SG,SG,SG,JJ,Redick,70,28.0,4.9,10.9,45.0%,2.0,5.1,40.0%,2.3,2.6,90.0%,14.19,0.2,1.8,2.0,2.2,1.2,1.83,0.70,0.05,1.8,0,0,1960,343,763,45.0%,143,357,40.0%,164,182,90.0%,993,14,126,140,154,84,49,4,126,,JJ Redick
LAL,"PG,SG",PG,PG,Jeremy,Lin,74,33.0,4.5,10.4,43.0%,1.3,3.6,36.0%,3.7,4.6,81.0%,13.97,0.6,2.7,3.3,6.9,3.0,2.30,1.20,0.30,3.0,14,0,2442,331,770,43.0%,96,266,36.0%,276,340,81.0%,1033,44,200,244,511,222,89,22,222,,Jeremy Lin
IND,"PG,SG",PG,PG,George,Hill,76,34.0,4.9,11.4,43.0%,1.4,3.8,36.0%,2.7,3.3,80.5%,13.83,0.7,3.3,4.0,5.0,2.2,2.27,1.10,0.35,2.2,6,0,2584,373,866,43.0%,104,289,36.0%,202,251,80.5%,1051,53,251,304,380,167,84,27,167,CYC,George Hill
HOU,"SG,SF",SF,SF,Trevor,Ariza,74,35.0,4.9,11.2,44.0%,2.3,6.0,39.0%,1.6,2.1,77.0%,13.81,1.1,4.7,5.8,2.8,2.0,1.40,1.65,0.35,2.4,9,0,2590,365,829,44.0%,173,444,39.0%,120,155,77.0%,1022,81,348,429,207,148,122,26,178,,Trevor Ariza
DET,"SF,PF","SF,PF",PF,Josh,Smith,76,30.0,5.8,12.8,45.0%,0.4,1.6,28.0%,1.8,3.4,54.0%,13.80,1.5,5.5,7.0,4.8,3.0,1.60,1.20,1.20,2.4,12,1,2280,438,973,45.0%,34,122,28.0%,140,258,54.0%,1049,114,418,532,365,228,91,91,182,,Josh Smith
CHI,"SG,SF","SG,SF",SG,Jimmy,Butler,70,35.0,4.3,9.2,46.4%,0.8,2.2,34.8%,4.5,5.8,77.4%,13.79,1.8,3.6,5.4,2.2,1.6,1.38,1.85,0.60,1.8,5,0,2450,299,644,46.4%,54,154,34.8%,314,406,77.4%,965,126,252,378,154,112,130,42,126,CYC,Jimmy Butler
CHA,"SG,SF",SG,SG,Lance,Stephenson,77,35.0,5.2,10.8,48.5%,1.2,3.4,36.5%,2.0,2.7,72.5%,13.67,1.1,5.4,6.5,4.8,2.6,1.85,0.85,0.15,2.4,19,2,2695,403,832,48.5%,96,262,36.5%,151,208,72.5%,1053,85,416,501,370,200,65,12,185,,Lance Stephenson
CHI,"PF,C","PF,C",PF,Pau,Gasol,70,30.0,5.4,10.6,50.5%,0.2,0.6,30.0%,2.7,3.7,74.0%,13.62,2.4,6.8,9.2,3.2,1.9,1.68,0.40,1.25,2.0,24,0,2100,375,742,50.5%,13,42,30.0%,192,259,74.0%,954,168,476,644,224,133,28,88,140,,Pau Gasol
WAS,C,C,C,Marcin,Gortat,75,33.0,5.8,10.6,55.0%,0.0,0.0,0.0%,1.9,2.8,68.5%,13.58,2.5,7.0,9.5,1.6,1.6,1.00,0.60,1.55,2.6,39,0,2475,437,795,55.0%,0,0,#DIV/0!,144,210,68.5%,1018,188,525,713,120,120,45,116,195,,Marcin Gortat
MIN,SF,SG,SF,Andrew,Wiggins,74,29.0,4.5,11.0,41.0%,1.1,3.2,35.0%,3.4,4.4,76.8%,13.52,1.1,3.5,4.6,1.6,2.4,0.67,1.10,0.90,2.8,1,0,2146,334,814,41.0%,83,237,35.0%,250,326,76.8%,1000,81,259,340,118,178,81,67,207,TR,Andrew Wiggins
UTA,C,C,C,Enes,Kanter,75,27.0,5.7,11.8,48.0%,0.5,2.2,22.0%,1.6,2.2,74.0%,13.44,2.6,4.8,7.4,1.4,2.0,0.70,0.50,0.65,3.0,19,0,2025,425,885,48.0%,36,165,22.0%,122,165,74.0%,1008,195,360,555,105,150,38,49,225,,Enes Kanter
POR,"SG,SF","SG,SF",SF,Nicolas,Batum,75,36.0,4.7,10.2,45.8%,1.9,5.2,36.8%,2.1,2.5,82.8%,13.33,1.3,5.7,7.0,5.0,2.5,2.00,1.05,0.85,2.0,15,1,2700,350,765,45.8%,144,390,36.8%,155,188,82.8%,1000,98,428,525,375,188,79,64,150,,Nicolas Batum
DET,PG,PG,PG,Brandon,Jennings,77,32.0,4.5,11.6,39.0%,1.7,4.8,36.0%,2.4,3.1,79.0%,13.23,0.6,2.0,2.6,8.2,2.7,3.04,1.30,0.05,2.0,21,0,2464,348,893,39.0%,133,370,36.0%,189,239,79.0%,1018,46,154,200,631,208,100,4,154,,Brandon Jennings
LAL,"PF,C",PF,PF,Carlos,Boozer,76,28.0,5.6,12.2,46.0%,0.0,0.0,0.0%,2.0,2.6,76.0%,13.20,1.8,5.6,7.4,2.2,2.2,1.00,0.90,0.25,2.8,12,0,2128,427,927,46.0%,0,0,#DIV/0!,150,198,76.0%,1003,137,426,562,167,167,68,19,213,,Carlos Boozer
OKC,"PG,SG",PG,SG,Reggie,Jackson,76,29.0,4.8,11.0,43.5%,1.2,3.4,35.0%,2.1,2.4,86.0%,12.82,0.6,3.0,3.6,4.2,2.4,1.75,1.05,0.15,2.0,3,0,2204,364,836,43.5%,90,258,35.0%,157,182,86.0%,975,46,228,274,319,182,80,11,152,,Reggie Jackson
DET,SG,SG,SG,Jodie,Meeks,60,28.0,4.3,10.0,43.0%,2.1,5.5,39.0%,1.9,2.2,86.0%,12.64,0.3,2.1,2.4,1.4,1.2,1.17,1.05,0.05,1.4,0,0,1680,258,600,43.0%,129,330,39.0%,114,132,86.0%,758,18,126,144,84,72,63,3,84,,Jodie Meeks
PHO,"SG,SF","SG,SF",SG,Gerald,Green,75,24.0,4.4,10.0,43.5%,2.1,5.3,39.5%,1.8,2.2,83.0%,12.62,0.6,2.4,3.0,1.1,1.4,0.79,0.70,0.40,2.3,1,0,1800,326,750,43.5%,157,398,39.5%,137,165,83.0%,946,45,180,225,83,105,53,30,173,,Gerald Green
HOU,"SF,PF",PF,PF,Terrence,Jones,76,28.0,5.0,9.8,51.5%,0.5,1.8,30.0%,2.0,3.2,62.0%,12.62,2.0,5.2,7.2,1.4,1.2,1.17,0.85,1.25,2.0,16,0,2128,384,745,51.5%,41,137,30.0%,151,243,62.0%,959,152,395,547,106,91,65,95,152,,Terrence Jones
DEN,SF,"SF,PF",SF,Danilo,Gallinari,72,26.0,4.0,9.6,41.5%,1.5,4.2,36.0%,3.1,3.8,82.0%,12.60,0.5,3.1,3.6,1.8,1.4,1.29,0.75,0.35,1.8,0,0,1872,287,691,41.5%,109,302,36.0%,224,274,82.0%,907,36,223,259,130,101,54,25,130,,Danilo Gallinari
IND,C,C,C,Roy,Hibbert,78,31.0,4.9,10.9,45.0%,0.0,0.0,0.0%,2.8,3.7,75.0%,12.59,3.2,5.6,8.8,1.6,2.1,0.76,0.45,2.30,3.5,24,0,2418,383,850,45.0%,0,0,#DIV/0!,216,289,75.0%,982,250,437,686,125,164,35,179,273,CYC,Roy Hibbert
SAC,PG,PG,PG,Darren,Collison,76,28.0,4.3,9.4,46.0%,0.9,2.6,36.5%,3.0,3.5,85.0%,12.57,0.5,2.1,2.6,5.2,2.1,2.48,1.10,0.10,1.8,4,0,2128,329,714,46.0%,72,198,36.5%,226,266,85.0%,955,38,160,198,395,160,84,8,137,,Darren Collison
PHI,C,C,C,Henry,Sims,74,28.0,4.9,10.6,46.0%,0.0,0.0,0.0%,2.8,3.8,74.0%,12.56,2.8,3.8,6.6,1.6,1.6,1.00,0.85,0.55,3.3,12,0,2072,361,784,46.0%,0,0,#DIV/0!,208,281,74.0%,930,207,281,488,118,118,63,41,244,DS,Henry Sims
CHI,"PF,C",PF,PF,Taj,Gibson,77,28.0,5.0,10.3,49.0%,0.0,0.1,20.0%,2.4,3.2,75.0%,12.51,2.4,4.3,6.7,1.0,1.7,0.59,0.55,1.45,2.6,11,0,2156,389,793,49.0%,2,8,20.0%,185,246,75.0%,964,185,331,516,77,131,42,112,200,,Taj Gibson
BOS,PG,PG,PG,Rajon,Rondo,71,35.0,5.1,11.5,44.0%,0.7,2.5,29.0%,1.6,2.5,64.0%,12.45,1.0,4.4,5.4,10.4,3.4,3.06,1.65,0.10,2.7,22,1,2485,359,817,44.0%,51,178,29.0%,114,178,64.0%,884,71,312,383,738,241,117,7,192,,Rajon Rondo
NYK,SG,SG,SG,Tim,Hardaway Jr.,76,24.0,4.1,9.4,44.0%,2.0,5.0,39.0%,2.0,2.4,83.0%,12.21,0.3,1.7,2.0,2.0,1.6,1.25,0.65,0.05,2.2,0,0,1824,314,714,44.0%,148,380,39.0%,151,182,83.0%,928,23,129,152,152,122,49,4,167,BR,Tim Hardaway Jr.
TOR,"SG,SF","SG,SF",SF,Terrence,Ross,77,30.0,4.3,10.2,42.5%,2.3,5.7,40.0%,1.2,1.5,82.5%,12.19,0.6,2.8,3.4,1.2,1.2,1.00,1.05,0.35,2.6,1,0,2310,334,785,42.5%,176,439,40.0%,95,116,82.5%,938,46,216,262,92,92,81,27,200,RS,Terrence Ross
WAS,"PF,C","PF,C",PF,Nene,Hilario,68,26.0,4.8,9.4,51.0%,0.0,0.0,0.0%,2.6,4.2,61.0%,12.15,1.2,4.0,5.2,2.2,2.0,1.10,1.00,0.75,2.8,1,0,1768,326,639,51.0%,0,0,#DIV/0!,174,286,61.0%,826,82,272,354,150,136,68,51,190,,Nene Hilario
TOR,C,C,C,Jonas,Valanciunas,75,30.0,4.6,8.4,55.0%,0.0,0.0,0.0%,2.6,3.4,76.6%,11.84,2.9,6.5,9.4,0.8,1.9,0.42,0.35,1.25,3.2,29,0,2250,347,630,55.0%,0,0,#DIV/0!,195,255,76.6%,888,218,488,705,60,143,26,94,240,,Jonas Valanciunas
DEN,C,C,C,Timofey,Mozgov,75,26.0,4.2,7.7,54.0%,0.2,0.6,28.0%,3.1,4.1,76.0%,11.60,2.4,5.0,7.4,0.8,1.8,0.44,0.35,1.25,2.8,17,0,1950,312,578,54.0%,13,45,28.0%,234,308,76.0%,870,180,375,555,60,135,26,94,210,CYC,Timofey Mozgov
DET,SG,SG,SG,Kentavious,Caldwell-Pope,76,26.0,4.0,9.5,42.5%,1.5,4.3,36.0%,1.7,2.2,79.0%,11.36,0.6,2.0,2.6,1.6,1.3,1.23,1.10,0.20,2.6,0,0,1976,307,722,42.5%,118,327,36.0%,132,167,79.0%,863,46,152,198,122,99,84,15,198,BR,Kentavious Caldwell-Pope
ATL,"SG,SF","SG,SF",SG,Kyle,Korver,74,33.0,3.9,8.4,46.0%,2.5,5.6,45.0%,1.0,1.1,88.0%,11.22,0.2,3.4,3.6,2.8,1.3,2.15,0.85,0.25,2.0,0,0,2442,286,622,46.0%,186,414,45.0%,72,81,88.0%,830,15,252,266,207,96,63,19,148,,Kyle Korver
CLE,"PF,C",PF,PF,Tristan,Thompson,78,26.0,4.4,8.4,52.5%,0.0,0.0,0.0%,2.4,3.4,70.0%,11.20,3.3,5.3,8.6,0.6,0.9,0.67,0.55,0.95,2.6,18,0,2028,344,655,52.5%,0,0,#DIV/0!,186,265,70.0%,874,257,413,671,47,70,43,74,203,,Tristan Thompson
OKC,"SG,SF","SG,SF",SG,Anthony,Morrow,64,24.0,3.9,9.1,43.0%,2.0,4.6,43.5%,1.2,1.4,86.0%,11.03,0.2,1.4,1.6,0.8,0.8,1.00,0.60,0.15,2.0,0,0,1536,250,582,43.0%,128,294,43.5%,77,90,86.0%,706,13,90,102,51,51,38,10,128,DS,Anthony Morrow
DAL,PG,PG,PG,Jameer,Nelson,71,28.0,3.9,9.4,41.0%,2.1,5.6,38.0%,1.2,1.4,85.0%,11.03,0.2,2.4,2.6,4.4,2.0,2.20,0.95,0.05,2.2,3,0,1988,274,667,41.0%,151,398,38.0%,84,99,85.0%,783,14,170,185,312,142,67,4,156,,Jameer Nelson
NYK,PG,PG,PG,Jose,Calderon,74,30.0,4.0,8.8,45.5%,2.1,5.0,42.0%,0.9,1.1,82.0%,11.01,0.3,1.9,2.2,6.0,1.8,3.33,0.85,0.10,1.6,4,0,2220,296,651,45.5%,155,370,42.0%,67,81,82.0%,815,22,141,163,444,133,63,7,118,,Jose Calderon
CHI,"PF,C",C,C,Joakim,Noah,74,32.0,4.2,8.5,49.5%,0.0,0.0,0.0%,2.6,3.5,74.0%,11.01,3.3,7.2,10.5,3.6,2.3,1.57,1.10,1.50,3.0,35,1,2368,311,629,49.5%,0,0,#DIV/0!,192,259,74.0%,814,244,533,777,266,170,81,111,222,,Joakim Noah
SAS,"SG,SF",SG,SG,Manu,Ginobili,68,21.0,3.7,8.4,43.8%,1.3,3.8,35.0%,2.3,2.8,82.0%,10.98,0.3,2.0,2.3,3.8,2.2,1.73,1.05,0.20,2.2,1,0,1428,250,571,43.8%,90,258,35.0%,156,190,82.0%,747,20,136,156,258,150,71,14,150,,Manu Ginobili
IND,"SG,SF","SG,SF",SF,CJ,Miles,70,22.0,3.8,9.6,40.0%,1.8,5.0,36.5%,1.5,1.8,82.0%,10.98,0.3,2.2,2.5,1.3,1.3,1.00,0.95,0.30,2.5,0,0,1540,269,672,40.0%,128,350,36.5%,103,126,82.0%,769,21,154,175,91,91,67,21,175,BBB,CJ Miles
MIL,"SF,PF","SF,PF",PF,Ersan,Ilyasova,73,25.0,4.1,9.5,43.5%,1.0,2.5,38.0%,1.8,2.2,80.0%,10.98,1.7,4.1,5.8,1.2,1.1,1.09,0.75,0.35,2.3,5,0,1825,302,694,43.5%,69,183,38.0%,128,161,80.0%,801,124,299,423,88,80,55,26,168,,Ersan Ilyasova
NYK,"PF,C","PF,C",PF,Andrea,Bargnani,62,23.0,4.3,9.8,44.0%,0.8,2.4,33.0%,1.6,1.9,82.0%,10.97,0.8,3.4,4.2,0.8,1.3,0.62,0.35,0.80,2.0,2,0,1426,267,608,44.0%,49,149,33.0%,97,118,82.0%,680,50,211,260,50,81,22,50,124,,Andrea Bargnani
POR,C,C,C,Robin,Lopez,76,32.0,4.3,7.8,55.5%,0.0,0.0,0.0%,2.2,2.8,78.0%,10.84,4.0,4.6,8.6,1.0,1.1,0.91,0.25,1.60,2.6,24,0,2432,329,593,55.5%,0,0,#DIV/0!,166,213,78.0%,824,304,350,654,76,84,19,122,198,,Robin Lopez
WAS,"SF,PF","SF,PF",SF,Paul,Pierce,70,26.0,3.5,8.0,44.0%,1.1,3.0,38.0%,2.7,3.2,83.0%,10.84,0.3,4.0,4.3,2.3,1.8,1.28,0.85,0.25,2.5,1,0,1820,246,560,44.0%,80,210,38.0%,186,224,83.0%,759,21,280,301,161,126,60,18,175,,Paul Pierce
PHI,"PF,C",C,C,Nerlens,Noel,71,31.0,4.3,9.1,47.5%,0.0,0.0,0.0%,2.2,3.8,57.5%,10.83,2.5,6.5,9.0,1.8,2.8,0.64,1.25,2.65,3.6,21,1,2201,307,646,47.5%,0,0,#DIV/0!,155,270,57.5%,769,178,462,639,128,199,89,188,256,TR,Nerlens Noel
LAL,"PF,C","PF,C",C,Jordan,Hill,74,26.0,4.4,8.2,54.0%,0.0,0.0,0.0%,1.9,2.8,68.0%,10.76,3.2,6.0,9.2,1.0,1.4,0.71,0.40,1.10,3.2,22,0,1924,328,607,54.0%,0,0,#DIV/0!,141,207,68.0%,796,237,444,681,74,104,30,81,237,CYC,Jordan Hill
ORL,"PF,C","PF,C",PF,Channing,Frye,71,27.0,3.8,9.1,42.0%,2.1,5.6,38.0%,0.9,1.1,82.0%,10.67,0.8,4.0,4.8,1.2,1.0,1.20,0.65,0.75,2.8,1,0,1917,271,646,42.0%,151,398,38.0%,64,78,82.0%,758,57,284,341,85,71,46,53,199,,Channing Frye
HOU,"PG,SG",PG,PG,Patrick,Beverley,72,32.0,3.7,8.8,42.5%,1.7,4.4,37.5%,1.5,1.8,81.5%,10.60,1.1,2.3,3.4,3.6,1.5,2.40,1.45,0.30,3.2,3,0,2304,269,634,42.5%,119,317,37.5%,106,130,81.5%,763,79,166,245,259,108,104,22,230,CYC,Patrick Beverley
MIL,"SG,SF","SG,SF",SF,Giannis,Antetokounmpo,75,27.0,3.6,8.2,44.0%,0.9,2.4,36.0%,2.5,3.4,74.0%,10.60,1.2,3.8,5.0,2.5,2.5,1.00,0.90,1.10,3.2,5,0,2025,271,615,44.0%,65,180,36.0%,189,255,74.0%,795,90,285,375,188,188,68,83,240,RS,Giannis Antetokounmpo
BKN,"SF,PF",PF,PF,Mirza,Teletovic,75,24.0,3.8,9.0,42.0%,2.3,5.8,39.0%,0.8,1.0,75.0%,10.57,1.1,3.9,5.0,1.1,1.0,1.10,0.55,0.35,2.6,5,0,1800,284,675,42.0%,170,435,39.0%,56,75,75.0%,793,83,293,375,83,75,41,26,195,DS,Mirza Teletovic
SAS,"SG,SF",SG,SG,Marco,Belinelli,75,24.0,3.9,8.2,47.5%,1.4,3.4,42.0%,1.3,1.6,84.0%,10.56,0.2,2.4,2.6,2.0,1.2,1.67,0.65,0.05,1.6,0,0,1800,292,615,47.5%,107,255,42.0%,101,120,84.0%,792,15,180,195,150,90,49,4,120,,Marco Belinelli
IND,"SF,PF",SF,PF,Chris,Copeland,74,22.0,3.9,8.8,44.0%,2.1,5.2,40.0%,0.7,0.9,75.0%,10.50,0.8,2.2,3.0,1.5,1.2,1.25,0.35,0.45,2.4,0,0,1628,287,651,44.0%,154,385,40.0%,50,67,75.0%,777,59,163,222,111,89,26,33,178,,Chris Copeland
SAC,"PG,SG",PG,PG,Ramon,Sessions,74,24.0,3.5,8.2,43.0%,0.5,1.6,32.0%,2.9,3.6,81.0%,10.48,0.4,1.6,2.0,4.5,1.8,2.50,0.70,0.05,1.5,2,0,1776,261,607,43.0%,38,118,32.0%,216,266,81.0%,776,30,118,148,333,133,52,4,111,,Ramon Sessions
GSW,"SF,PF",SF,SF,Harrison,Barnes,76,28.0,3.8,8.6,44.0%,0.9,2.6,36.0%,2.0,2.6,75.0%,10.45,0.8,3.2,4.0,1.5,1.3,1.15,0.85,0.35,2.2,2,0,2128,288,654,44.0%,71,198,36.0%,148,198,75.0%,795,61,243,304,114,99,65,27,167,BR,Harrison Barnes
DET,"SG,SF","SG,SF",SF,Kyle,Singler,74,26.0,3.4,8.4,41.0%,1.9,5.4,35.0%,1.6,2.1,78.0%,10.42,0.8,1.8,2.6,0.8,1.1,0.73,0.55,0.20,2.6,0,0,1924,255,622,41.0%,140,400,35.0%,121,155,78.0%,771,59,133,192,59,81,41,15,192,,Kyle Singler
NYK,"PF,C","PF,C",C,Amare,Stoudemire,68,20.0,4.2,7.7,54.0%,0.0,0.0,0.0%,2.0,2.7,74.0%,10.31,1.7,3.3,5.0,0.5,1.2,0.42,0.35,0.65,2.3,2,0,1360,283,524,54.0%,0,0,#DIV/0!,136,184,74.0%,701,116,224,340,34,82,24,44,156,,Amare Stoudemire
BOS,C,C,PF,Kelly,Olynyk,75,26.0,3.7,8.2,45.0%,1.2,3.2,37.0%,1.7,2.2,79.0%,10.30,2.4,4.1,6.5,2.3,1.9,1.21,0.60,0.60,3.3,5,0,1950,277,615,45.0%,89,240,37.0%,130,165,79.0%,773,180,308,488,173,143,45,45,248,BR,Kelly Olynyk
