TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%  ,3PM,3PA,3P%  ,FTM,FTA,FT%  ,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%  ,TOT3PM,TOT3PA,3P%  ,TOTFTM,TOTFTA,FT%  ,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
LAC,C,C,C,DeAndre,Jordan,80,34.0,4.2,6.2,67.0%,0.0,0.0,0.0%,1.9,4.5,43.0%,10.24,3.8,9.4,13.2,0.7,1.4,0.50,0.85,2.55,3.2,40,0,2720,332,496,67.0%,0,0,#DIV/0!,155,360,43.0%,819,304,752,1056,56,112,68,204,256,,DeAndre Jordan
NYK,"SG,SF","SG,SF",SG,JR,Smith,74,22.0,3.7,8.8,42.0%,1.7,4.4,38.0%,1.1,1.6,70.0%,10.18,0.5,2.1,2.6,1.8,1.2,1.50,0.85,0.15,1.8,0,0,1628,274,651,42.0%,124,326,38.0%,83,118,70.0%,754,37,155,192,133,89,63,11,133,,JR Smith
MIL,"PF,C","PF,C",PF,John,Henson,73,23.0,4.4,8.0,55.0%,0.0,0.0,0.0%,1.2,2.3,53.8%,10.04,2.3,4.1,6.4,1.2,1.6,0.75,0.50,1.75,2.5,13,0,1679,321,584,55.0%,0,0,#DIV/0!,90,168,53.8%,733,168,299,467,88,117,37,128,183,,John Henson
MIL,"PF,C","PF,C",C,Larry,Sanders,73,27.0,4.2,8.3,50.5%,0.0,0.0,0.0%,1.7,3.0,55.0%,10.03,3.3,6.2,9.5,0.8,1.4,0.57,0.90,2.45,3.5,23,0,1971,306,606,50.5%,0,0,#DIV/0!,120,219,55.0%,732,241,453,694,58,102,66,179,256,BBB,Larry Sanders
BKN,"PG,SG","PG,SG",SG,Jarrett,Jack,78,26.0,3.7,8.6,43.5%,0.7,2.0,35.5%,1.8,2.2,83.5%,10.03,0.3,2.5,2.8,4.0,1.6,2.50,0.75,0.15,1.8,3,0,2028,292,671,43.5%,55,156,35.5%,143,172,83.5%,782,23,195,218,312,125,59,12,140,,Jarrett Jack
MIA,PG,SG,PG,Shabazz,Napier,72,20.0,2.9,7.5,39.0%,1.4,4.0,34.0%,2.8,3.3,84.0%,9.98,0.4,1.8,2.2,3.2,1.4,2.29,0.95,0.05,2.0,0,0,1440,211,540,39.0%,98,288,34.0%,200,238,84.0%,719,29,130,158,230,101,68,4,144,,Shabazz Napier
CHI,SF,SF,SF,Doug,McDermott,74,22.0,3.3,7.8,42.0%,1.6,4.0,39.0%,1.8,2.2,84.0%,9.96,0.7,3.3,4.0,1.6,1.8,0.89,0.20,0.10,2.0,0,0,1628,242,577,42.0%,115,296,39.0%,137,163,84.0%,737,52,244,296,118,133,15,7,148,TR,Doug McDermott
MIN,PG,PG,PG,Ricky,Rubio,74,34.0,3.2,8.5,38.0%,0.6,1.8,34.0%,2.9,3.6,80.0%,9.95,0.6,3.8,4.4,9.6,3.7,2.59,2.55,0.15,2.8,24,3,2516,239,629,38.0%,45,133,34.0%,213,266,80.0%,736,44,281,326,710,274,189,11,207,SS,Ricky Rubio
BKN,"PF,C","PF,C",PF,Mason,Plumlee,75,21.0,4.0,6.4,62.0%,0.0,0.0,0.0%,2.0,3.4,58.0%,9.91,1.9,4.7,6.6,0.8,2.0,0.40,0.80,1.10,3.4,9,0,1575,298,480,62.0%,0,0,#DIV/0!,148,255,58.0%,743,143,353,495,60,150,60,83,255,BR,Mason Plumlee
WAS,SF,SF,SF,Otto,Porter,74,26.0,3.6,7.7,46.8%,0.7,2.2,34.0%,1.9,2.7,69.8%,9.84,1.4,2.6,4.0,1.6,1.6,1.00,1.20,0.30,2.0,2,0,1924,267,570,46.8%,55,163,34.0%,139,200,69.8%,728,104,192,296,118,118,89,22,148,BR,Otto Porter
SAS,"SG,SF","SG,SF",SG,Danny,Green,74,26.0,3.5,8.0,44.0%,2.1,5.1,42.0%,0.7,0.8,82.0%,9.84,0.5,2.7,3.2,1.6,1.3,1.23,1.00,0.75,1.8,1,0,1924,260,592,44.0%,159,377,42.0%,49,59,82.0%,728,37,200,237,118,96,74,56,133,,Danny Green
OKC,C,C,C,Steven,Adams,78,25.0,4.0,6.7,60.0%,0.0,0.0,0.0%,1.8,3.1,58.0%,9.84,2.8,4.4,7.2,0.8,1.4,0.57,0.65,1.35,4.2,14,0,1950,314,523,60.0%,0,0,#DIV/0!,140,242,58.0%,767,218,343,562,62,109,51,105,328,BR,Steven Adams
ATL,"SF,PF",SF,SF,DeMarre,Carroll,74,31.0,3.7,7.8,46.8%,1.2,3.3,36.6%,1.3,1.7,76.8%,9.81,1.4,4.0,5.4,1.7,1.0,1.70,1.40,0.25,2.5,1,0,2294,270,577,46.8%,89,244,36.6%,97,126,76.8%,726,104,296,400,126,74,104,19,185,,DeMarre Carroll
BKN,SG,SG,SF,Bojan,Bogdanovic,74,24.0,3.5,8.0,43.5%,1.3,3.4,37.0%,1.6,2.0,79.5%,9.81,0.3,1.5,1.8,1.8,1.3,1.38,0.60,0.05,1.8,0,0,1776,258,592,43.5%,93,252,37.0%,118,148,79.5%,726,22,111,133,133,96,44,4,133,DS,Bojan Bogdanovic
SAC,SG,SG,SG,Ben,McLemore,76,26.0,3.4,8.2,41.5%,1.4,3.6,37.5%,1.6,2.0,82.0%,9.80,0.5,1.5,2.0,1.0,1.6,0.63,1.00,0.25,2.4,0,0,1976,259,623,41.5%,103,274,37.5%,125,152,82.0%,744,38,114,152,76,122,76,19,182,,Ben McLemore
MIL,"PG,SG",SG,SG,OJ,Mayo,73,20.0,3.4,7.8,44.0%,1.4,3.6,38.0%,1.6,1.9,82.0%,9.79,0.2,1.2,1.4,2.0,1.4,1.43,0.55,0.05,2.0,0,0,1460,251,569,44.0%,100,263,38.0%,114,139,82.0%,715,15,88,102,146,102,40,4,146,,OJ Mayo
SAS,PG,PG,PG,Patty,Mills,40,18.0,3.6,8.0,45.0%,1.7,4.0,42.0%,0.8,0.9,84.0%,9.64,0.3,1.7,2.0,1.8,1.0,1.80,0.70,0.05,1.4,0,0,720,144,320,45.0%,67,160,42.0%,30,36,84.0%,385,12,68,80,72,40,28,2,56,,Patty Mills
MIL,"SF,PF",SF,SF,Khris,Middleton,74,22.0,3.6,8.2,44.0%,1.0,2.6,40.0%,1.4,1.6,85.0%,9.62,0.5,2.3,2.8,1.2,1.0,1.20,0.85,0.15,2.3,0,0,1628,267,607,44.0%,77,192,40.0%,101,118,85.0%,712,37,170,207,89,74,63,11,170,,Khris Middleton
PHI,SF,SF,SF,KJ,McDaniels,72,26.0,3.3,8.5,39.0%,1.1,3.2,33.0%,1.9,2.4,80.0%,9.61,1.4,3.0,4.4,1.2,1.8,0.67,0.85,1.15,2.6,1,0,1872,239,612,39.0%,76,230,33.0%,138,173,80.0%,692,101,216,317,86,130,61,83,187,DS,KJ McDaniels
TOR,"PG,SG","PG,SG",SG,Lou,Williams,70,20.0,3.2,7.8,41.0%,1.1,3.0,35.0%,2.2,2.6,83.0%,9.60,0.2,1.6,1.8,2.6,1.4,1.86,0.60,0.10,1.3,0,0,1400,224,546,41.0%,74,210,35.0%,151,182,83.0%,672,14,112,126,182,98,42,7,91,,Lou Williams
BOS,"SG,SF","SG,SF",SF,Evan,Turner,76,23.0,3.5,8.2,42.5%,0.5,1.4,33.0%,2.1,2.8,76.0%,9.56,0.8,3.4,4.2,3.5,2.2,1.59,0.75,0.10,2.2,4,0,1748,265,623,42.5%,35,106,33.0%,162,213,76.0%,727,61,258,319,266,167,57,8,167,,Evan Turner
DET,PG,PG,PG,DJ,Augustin,74,22.0,3.0,7.6,40.0%,1.4,3.6,39.0%,2.1,2.4,86.0%,9.55,0.2,1.3,1.5,5.0,2.3,2.17,0.70,0.05,2.1,0,0,1628,225,562,40.0%,104,266,39.0%,153,178,86.0%,707,15,96,111,370,170,52,4,155,,DJ Augustin
PHO,"PF,C","PF,C",C,Miles,Plumlee,76,28.0,4.1,7.8,53.0%,0.0,0.0,0.0%,1.3,2.2,58.0%,9.54,2.9,6.1,9.0,0.6,1.4,0.43,0.70,1.30,2.7,20,0,2128,314,593,53.0%,0,0,#DIV/0!,97,167,58.0%,725,220,464,684,46,106,53,99,205,,Miles Plumlee
BOS,SG,SG,SG,Marcus,Thornton,72,18.0,3.4,8.2,42.0%,1.5,4.1,36.0%,1.1,1.4,80.0%,9.48,0.4,1.0,1.4,0.4,1.0,0.40,0.65,0.05,2.0,0,0,1296,248,590,42.0%,106,295,36.0%,81,101,80.0%,683,29,72,101,29,72,47,4,144,,Marcus Thornton
CHA,"SG,SF",SG,SG,Gerald,Henderson,70,24.0,3.5,8.2,43.0%,0.4,1.2,35.0%,2.0,2.6,77.0%,9.47,0.5,2.0,2.5,2.0,1.2,1.67,0.55,0.35,1.8,0,0,1680,247,574,43.0%,29,84,35.0%,140,182,77.0%,663,35,140,175,140,84,39,25,126,,Gerald Henderson
DAL,C,C,C,Tyson,Chandler,70,29.0,3.7,5.8,64.0%,0.0,0.0,0.0%,2.0,3.0,68.0%,9.46,3.2,6.5,9.7,0.5,1.2,0.42,0.50,1.00,3.0,24,0,2030,260,406,64.0%,0,0,#DIV/0!,143,210,68.0%,662,224,455,679,35,84,35,70,210,BBB,Tyson Chandler
DEN,"SG,SF","SG,SF",SF,Wilson,Chandler,70,22.0,3.5,8.0,44.0%,1.2,3.2,37.0%,1.2,1.6,75.0%,9.42,0.7,3.1,3.8,1.6,1.1,1.45,0.65,0.35,2.0,0,0,1540,246,560,44.0%,83,224,37.0%,84,112,75.0%,660,49,217,266,112,77,46,25,140,,Wilson Chandler
MEM,"SG,SF",SF,SF,Quincy,Pondexter,74,26.0,3.1,7.3,43.0%,1.5,3.9,38.0%,1.6,2.1,78.0%,9.40,0.7,1.7,2.4,1.6,1.3,1.23,0.75,0.15,2.0,0,0,1924,232,540,43.0%,110,289,38.0%,121,155,78.0%,695,52,126,178,118,96,56,11,148,DS,Quincy Pondexter
CHA,SF,SF,SF,Michael,Kidd-Gilchrist,75,27.0,3.4,7.4,46.5%,0.0,0.2,22.0%,2.5,3.4,72.5%,9.39,2.0,4.0,6.0,1.8,1.3,1.38,0.95,0.95,2.6,5,0,2025,258,555,46.5%,3,15,22.0%,185,255,72.5%,704,150,300,450,135,98,71,71,195,BBB,Michael Kidd-Gilchrist
ATL,PF,PF,PF,Mike,Scott,77,17.0,3.6,7.3,49.0%,0.9,2.5,35.5%,1.3,1.7,77.0%,9.35,0.8,2.6,3.4,1.0,1.0,1.00,0.40,0.10,1.6,0,0,1309,275,562,49.0%,68,193,35.5%,101,131,77.0%,720,62,200,262,77,77,31,8,123,,Mike Scott
TOR,"PF,C","PF,C",PF,Amir,Johnson,75,27.0,4.0,7.3,55.0%,0.2,0.5,32.0%,1.1,1.6,66.0%,9.25,2.1,4.1,6.2,1.2,1.4,0.86,0.70,1.15,3.6,11,0,2025,301,548,55.0%,12,38,32.0%,79,120,66.0%,693,158,308,465,90,105,53,86,270,,Amir Johnson
CHA,"PG,SG",PG,SG,Gary,Neal,72,22.0,3.4,8.0,42.0%,1.1,3.0,38.0%,1.4,1.6,86.0%,9.24,0.3,1.3,1.6,2.0,1.4,1.43,0.40,0.05,1.6,0,0,1584,242,576,42.0%,82,216,38.0%,99,115,86.0%,665,22,94,115,144,101,29,4,115,,Gary Neal
DAL,"PG,SG","PG,SG",SG,Devin,Harris,72,22.0,2.9,6.7,43.5%,0.9,2.7,33.5%,2.5,3.2,78.0%,9.23,0.3,2.0,2.3,3.7,1.7,2.18,0.80,0.10,2.0,1,0,1584,210,482,43.5%,65,194,33.5%,180,230,78.0%,665,22,144,166,266,122,58,7,144,,Devin Harris
MEM,"SG,SF",SG,SG,Courtney,Lee,74,28.0,3.5,7.8,45.0%,1.0,2.8,37.0%,1.2,1.4,83.0%,9.22,0.4,2.2,2.6,1.6,1.0,1.60,0.80,0.25,1.8,0,0,2072,260,577,45.0%,77,207,37.0%,86,104,83.0%,682,30,163,192,118,74,59,19,133,,Courtney Lee
TOR,"PF,C",PF,PF,Patrick,Patterson,74,24.0,3.7,8.0,46.0%,1.0,2.5,38.5%,0.9,1.2,74.5%,9.22,1.8,3.6,5.4,1.2,1.0,1.20,0.70,0.60,2.5,2,0,1776,272,592,46.0%,71,185,38.5%,66,89,74.5%,682,133,266,400,89,74,52,44,185,,Patrick Patterson
SAS,"PF,C","PF,C",PF,Boris,Diaw,75,26.0,3.7,7.2,52.0%,0.7,1.8,38.0%,1.0,1.4,74.0%,9.21,1.0,3.2,4.2,2.8,1.8,1.56,0.55,0.35,1.8,4,0,1950,281,540,52.0%,51,135,38.0%,78,105,74.0%,691,75,240,315,210,135,41,26,135,,Boris Diaw
NOR,"PF,C",C,C,Omer,Asik,74,30.0,3.6,6.5,55.0%,0.0,0.0,0.0%,2.0,3.4,60.0%,9.19,3.2,7.8,11.0,0.9,1.8,0.50,0.55,1.20,2.7,26,0,2220,265,481,55.0%,0,0,#DIV/0!,151,252,60.0%,680,237,577,814,67,133,41,89,200,BBB,Omer Asik
SAS,C,"PF,C",C,Tiago,Splitter,74,23.0,3.5,6.4,54.0%,0.0,0.0,0.0%,2.2,3.2,70.0%,9.15,2.0,4.4,6.4,1.4,1.4,1.00,0.65,0.65,2.2,8,0,1702,256,474,54.0%,0,0,#DIV/0!,166,237,70.0%,677,148,326,474,104,104,48,48,163,,Tiago Splitter
MIN,C,C,C,Gorgui,Dieng,76,24.0,3.5,7.0,49.5%,0.0,0.0,0.0%,2.1,3.0,70.5%,9.05,2.6,5.4,8.0,1.2,1.7,0.71,0.75,1.50,3.0,16,0,1824,263,532,49.5%,0,0,#DIV/0!,161,228,70.5%,687,198,410,608,91,129,57,114,228,RS,Gorgui Dieng
MEM,"SG,SF","SG,SF",SF,Vince,Carter,69,18.0,3.0,7.4,41.0%,1.6,4.0,39.5%,1.4,1.7,82.0%,9.04,0.4,2.1,2.5,1.8,1.3,1.38,0.55,0.25,1.4,0,0,1242,209,511,41.0%,109,276,39.5%,96,117,82.0%,624,28,145,173,124,90,38,17,97,,Vince Carter
LAL,PF,PF,PF,Julius,Randle,75,20.0,3.4,7.6,44.5%,0.1,0.4,23.5%,2.2,3.0,72.0%,9.02,1.6,4.4,6.0,1.4,2.0,0.70,0.30,0.45,3.0,3,0,1500,254,570,44.5%,7,30,23.5%,162,225,72.0%,676,120,330,450,105,150,23,34,225,,Julius Randle
PHI,"SF,PF",SF,SG,Hollis,Thompson,74,26.0,3.0,6.9,44.0%,1.7,4.2,40.0%,1.2,1.6,77.0%,8.98,0.7,2.7,3.4,1.4,1.4,1.00,0.80,0.20,2.6,1,0,1924,225,511,44.0%,124,311,40.0%,91,118,77.0%,665,52,200,252,104,104,59,15,192,DS,Hollis Thompson
LAC,SF,SF,SF,Matt,Barnes,72,26.0,3.4,7.8,43.0%,1.5,4.2,35.0%,0.8,1.1,73.0%,8.98,0.8,3.0,3.8,1.8,1.3,1.38,0.90,0.45,2.8,1,0,1872,241,562,43.0%,106,302,35.0%,58,79,73.0%,647,58,216,274,130,94,65,32,202,,Matt Barnes
BOS,PG,PG,PG,Marcus,Smart,74,24.0,2.7,7.6,35.0%,1.6,5.0,31.0%,2.1,2.7,78.0%,8.98,0.7,2.1,2.8,4.0,3.1,1.29,2.00,0.15,3.3,2,0,1776,197,562,35.0%,115,370,31.0%,156,200,78.0%,664,52,155,207,296,229,148,11,244,TR,Marcus Smart
POR,"PF,C",C,C,Chris,Kaman,71,18.0,3.9,7.5,52.5%,0.0,0.0,0.0%,1.1,1.4,77.0%,8.95,1.4,3.6,5.0,1.3,1.6,0.81,0.35,0.85,2.5,7,0,1278,280,533,52.5%,0,0,#DIV/0!,77,99,77.0%,636,99,256,355,92,114,25,60,178,,Chris Kaman
ORL,SG,SG,SG,Evan,Fournier,75,22.0,3.1,7.4,42.0%,1.3,3.6,37.0%,1.3,1.7,76.0%,8.84,0.4,2.0,2.4,1.8,1.5,1.20,0.85,0.05,2.7,0,0,1650,233,555,42.0%,100,270,37.0%,97,128,76.0%,663,30,150,180,135,113,64,4,203,BR,Evan Fournier
MIA,"SG,SF",SF,SF,James,Ennis,72,20.0,3.0,7.0,43.0%,0.9,2.6,34.0%,1.9,2.4,80.0%,8.82,0.7,2.7,3.4,1.4,1.8,0.78,0.90,0.10,2.2,0,0,1440,217,504,43.0%,64,187,34.0%,138,173,80.0%,635,50,194,245,101,130,65,7,158,DS,James Ennis
SAC,SG,SG,SG,Nik,Stauskas,74,22.0,3.0,7.0,43.0%,1.5,3.8,39.0%,1.3,1.6,82.0%,8.81,0.2,1.4,1.6,1.8,1.5,1.20,0.45,0.05,1.4,0,0,1628,223,518,43.0%,110,281,39.0%,97,118,82.0%,652,15,104,118,133,111,33,4,104,,Nik Stauskas
PHO,PF,PF,PF,Marcus,Morris,74,22.0,3.2,7.5,43.0%,1.2,3.2,38.0%,1.1,1.5,76.0%,8.81,1.2,3.2,4.4,1.1,1.3,0.85,0.85,0.30,2.0,1,0,1628,239,555,43.0%,90,237,38.0%,84,111,76.0%,652,89,237,326,81,96,63,22,148,DS,Marcus Morris
TOR,"PG,SG",PG,PG,Greivis,Vasquez,74,20.0,3.3,7.7,42.5%,1.2,3.4,36.5%,1.0,1.2,85.0%,8.81,0.2,1.8,2.0,3.8,1.6,2.38,0.40,0.05,1.6,2,0,1480,242,570,42.5%,92,252,36.5%,75,89,85.0%,652,15,133,148,281,118,30,4,118,,Greivis Vasquez
MIA,"PF,C",PF,PF,Josh,McRoberts,69,31.0,3.3,7.4,44.0%,1.3,3.5,36.0%,1.0,1.4,73.0%,8.79,1.5,4.5,6.0,3.8,1.4,2.71,0.75,0.65,2.6,3,0,2139,225,511,44.0%,87,242,36.0%,71,97,73.0%,607,104,311,414,262,97,52,45,179,,Josh McRoberts
MIN,"PG,SG","PG,SG",PG,Mo,Williams,74,22.0,3.3,8.0,41.0%,1.1,3.0,36.8%,1.1,1.3,86.8%,8.79,0.4,1.4,1.8,3.8,1.8,2.11,0.65,0.05,2.4,2,0,1628,243,592,41.0%,82,222,36.8%,84,96,86.8%,651,30,104,133,281,133,48,4,178,,Mo Williams
DAL,"PF,C","PF,C",C,Brandan,Wright,70,16.0,3.7,5.6,66.0%,0.0,0.0,0.0%,1.1,1.6,70.0%,8.51,1.7,2.5,4.2,0.4,0.7,0.57,0.50,1.00,1.8,2,0,1120,259,392,66.0%,0,0,#DIV/0!,78,112,70.0%,596,119,175,294,28,49,35,70,126,DS,Brandan Wright
LAC,"PF,C",C,C,Spencer,Hawes,76,20.0,3.1,6.6,46.5%,1.4,3.3,41.0%,1.0,1.3,77.7%,8.50,1.1,3.7,4.8,1.4,1.3,1.08,0.45,0.75,2.2,4,0,1520,233,502,46.5%,103,251,41.0%,77,99,77.7%,646,84,281,365,106,99,34,57,167,,Spencer Hawes
GSW,"SG,SF","SG,SF",SF,Andre,Iguodala,72,26.0,3.0,6.5,46.6%,1.0,2.8,36.0%,1.3,2.0,66.0%,8.39,0.6,3.2,3.8,3.8,1.5,2.53,1.35,0.25,1.4,2,0,1872,218,468,46.6%,73,202,36.0%,95,144,66.0%,604,43,230,274,274,108,97,18,101,,Andre Iguodala
CHA,"SF,PF","SF,PF",PF,Marvin,Williams,74,26.0,3.1,7.2,42.5%,1.4,3.8,37.0%,0.9,1.1,78.0%,8.38,1.3,3.7,5.0,1.2,1.0,1.20,0.65,0.40,2.2,2,0,1924,226,533,42.5%,104,281,37.0%,63,81,78.0%,620,96,274,370,89,74,48,30,163,,Marvin Williams
IND,PG,PG,PG,CJ,Watson,76,20.0,2.9,7.0,41.0%,1.2,3.4,36.0%,1.4,1.8,78.0%,8.37,0.4,1.4,1.8,3.0,1.7,1.76,0.90,0.10,1.6,0,0,1520,218,532,41.0%,93,258,36.0%,107,137,78.0%,636,30,106,137,228,129,68,8,122,,CJ Watson
PHI,PF,PF,PF,Arnett,Moultrie,72,24.0,3.6,8.0,45.0%,0.0,0.0,0.0%,1.2,1.6,73.0%,8.37,1.8,3.6,5.4,1.0,1.5,0.67,0.75,0.50,2.6,2,0,1728,259,576,45.0%,0,0,#DIV/0!,84,115,73.0%,602,130,259,389,72,108,54,36,187,DS,Arnett Moultrie
LAL,"SG,SF","SG,SF",SF,Wes,Johnson,74,28.0,3.1,7.4,42.0%,1.2,3.2,37.0%,0.8,1.1,77.0%,8.25,0.6,2.6,3.2,1.4,1.3,1.08,1.05,0.95,2.5,0,0,2072,230,548,42.0%,88,237,37.0%,63,81,77.0%,610,44,192,237,104,96,78,70,185,,Wes Johnson
WAS,"SG,SF",SF,SG,Glen,Rice Jr.,72,16.0,2.8,6.8,41.0%,1.1,3.4,33.0%,1.5,2.0,77.0%,8.24,0.4,2.2,2.6,1.2,1.2,1.00,0.70,0.30,1.8,0,0,1152,201,490,41.0%,81,245,33.0%,111,144,77.0%,593,29,158,187,86,86,50,22,130,BR,Glen Rice Jr.
ORL,PG,PG,PG,Elfrid,Payton,74,31.0,2.9,6.8,43.0%,0.3,1.0,26.0%,2.1,3.2,65.0%,8.19,0.7,2.7,3.4,6.4,4.0,1.60,1.75,0.25,2.4,8,1,2294,216,503,43.0%,19,74,26.0%,154,237,65.0%,606,52,200,252,474,296,130,19,178,TR,Elfrid Payton
CHI,"SG,SF","SG,SF",SF,Mike,Dunleavy,74,24.0,2.8,6.4,44.0%,1.5,3.6,41.0%,1.1,1.3,82.0%,8.17,0.4,2.6,3.0,1.2,0.9,1.33,0.50,0.25,1.6,0,0,1776,208,474,44.0%,109,266,41.0%,79,96,82.0%,605,30,192,222,89,67,37,19,118,,Mike Dunleavy
POR,"PG,SG","PG,SG",SG,CJ,McCollum,75,16.0,2.9,7.0,41.5%,1.2,3.2,38.0%,1.1,1.5,75.0%,8.15,0.3,1.7,2.0,1.6,1.4,1.14,0.70,0.10,2.0,0,0,1200,218,525,41.5%,91,240,38.0%,84,113,75.0%,611,23,128,150,120,105,53,8,150,BR,CJ McCollum
CLE,"PF,C",C,C,Anderson,Varejao,70,24.0,3.4,6.2,55.0%,0.0,0.0,0.0%,1.2,1.8,67.0%,8.03,2.4,5.2,7.6,1.2,1.1,1.09,1.00,0.60,2.6,8,0,1680,239,434,55.0%,0,0,#DIV/0!,84,126,67.0%,562,168,364,532,84,77,70,42,182,,Anderson Varejao
MIN,"SF,PF",PF,PF,Anthony,Bennett,74,18.0,2.9,6.8,43.0%,0.6,1.8,34.0%,1.6,2.2,71.0%,8.02,1.2,3.4,4.6,0.6,1.5,0.40,0.75,0.25,2.6,2,0,1332,216,503,43.0%,45,133,34.0%,116,163,71.0%,594,89,252,340,44,111,56,19,192,BR,Anthony Bennett
ORL,SF,SF,SF,Moe,Harkless,77,26.0,3.0,6.6,46.0%,0.8,2.2,36.0%,1.1,1.9,60.0%,8.00,0.9,2.5,3.4,1.4,1.6,0.88,1.20,0.60,1.8,1,0,2002,234,508,46.0%,61,169,36.0%,88,146,60.0%,616,69,193,262,108,123,92,46,139,,Moe Harkless
IND,"PF,C",PF,PF,Luis,Scola,76,18.0,3.3,7.2,45.5%,0.1,0.4,22.0%,1.4,1.8,75.0%,7.99,1.1,3.9,5.0,1.3,1.5,0.87,0.40,0.20,2.1,1,0,1368,249,547,45.5%,7,30,22.0%,103,137,75.0%,607,84,296,380,99,114,30,15,160,,Luis Scola
GSW,C,C,C,Andrew,Bogut,69,27.5,3.7,6.0,62.0%,0.0,0.0,0.0%,0.5,1.3,42.0%,7.99,2.7,7.3,10.0,1.8,1.6,1.13,0.60,1.75,3.1,15,0,1898,257,414,62.0%,0,0,#DIV/0!,38,90,42.0%,551,186,504,690,124,110,41,121,214,,Andrew Bogut
MIN,"SG,SF",SF,SF,Corey,Brewer,76,22.0,3.1,7.2,43.0%,0.4,1.6,28.0%,1.3,1.9,70.0%,7.97,0.6,1.6,2.2,1.2,0.9,1.33,1.25,0.25,1.8,0,0,1672,235,547,43.0%,34,122,28.0%,101,144,70.0%,606,46,122,167,91,68,95,19,137,,Corey Brewer
OKC,"SG,SF",SG,SG,Jeremy,Lamb,72,16.0,2.9,7.0,41.0%,1.2,3.3,35.0%,0.9,1.2,78.0%,7.83,0.5,1.9,2.4,1.6,1.4,1.14,0.70,0.30,2.2,0,0,1152,207,504,41.0%,83,238,35.0%,67,86,78.0%,564,36,137,173,115,101,50,22,158,,Jeremy Lamb
MIA,PG,PG,PG,Mario,Chalmers,74,20.0,2.5,5.8,43.0%,1.1,3.0,37.5%,1.7,2.2,77.0%,7.81,0.4,2.2,2.6,3.0,1.6,1.88,1.50,0.15,2.4,0,0,1480,185,429,43.0%,83,222,37.5%,125,163,77.0%,578,30,163,192,222,118,111,11,178,,Mario Chalmers
